id,page_number,is_premium,title,problem_description,topic_tags,difficulty,similar_questions,no_similar_questions,acceptance,accepted,submission,solution,discussion_count,likes,dislikes,problem_URL,solution_URL
510,11,True,510. Inorder Successor in BST II,,,Medium,,,61.0,,,,,,,https://leetcode.com/problems/inorder-successor-in-bst-ii,https://leetcode.com/problems/inorder-successor-in-bst-ii/solution
511,11,False,511. Game Play Analysis I,"Table: Activity
+--------------+---------+
| Column Name  | Type    |
+--------------+---------+
| player_id    | int     |
| device_id    | int     |
| event_date   | date    |
| games_played | int     |
+--------------+---------+
(player_id, event_date) is the primary key (combination of columns with unique values) of this table.
This table shows the activity of players of some games.
Each row is a record of a player who logged in and played a number of games (possibly 0) before logging out on someday using some device.

 
Write a solution to find the first login date for each player.
Return the result table in any order.
The result format is in the following example.
 
Example 1:
Input: 
Activity table:
+-----------+-----------+------------+--------------+
| player_id | device_id | event_date | games_played |
+-----------+-----------+------------+--------------+
| 1         | 2         | 2016-03-01 | 5            |
| 1         | 2         | 2016-05-02 | 6            |
| 2         | 3         | 2017-06-25 | 1            |
| 3         | 1         | 2016-03-02 | 0            |
| 3         | 4         | 2018-07-03 | 5            |
+-----------+-----------+------------+--------------+
Output: 
+-----------+-------------+
| player_id | first_login |
+-----------+-------------+
| 1         | 2016-03-01  |
| 2         | 2017-06-25  |
| 3         | 2016-03-02  |
+-----------+-------------+

",'Database',Easy,"[""'Game Play Analysis II'""]",1.0,74.4,226100,304100,1300,45,768,26,https://leetcode.com/problems/game-play-analysis-i,https://leetcode.com/problems/game-play-analysis-i/solution
512,11,True,512. Game Play Analysis II,,,Easy,,,52.4,,,,,,,https://leetcode.com/problems/game-play-analysis-ii,https://leetcode.com/problems/game-play-analysis-ii/solution
513,11,False,513. Find Bottom Left Tree Value,"Given the root of a binary tree, return the leftmost value in the last row of the tree.
 
Example 1:

Input: root = [2,1,3]
Output: 1

Example 2:

Input: root = [1,2,3,4,null,5,6,null,null,7]
Output: 7

 
Constraints:

The number of nodes in the tree is in the range [1, 104].
-231 <= Node.val <= 231 - 1

","'Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree'",Medium,[''],0.0,67.5,231000,341900,2500,14,3100,253,https://leetcode.com/problems/find-bottom-left-tree-value,https://leetcode.com/problems/find-bottom-left-tree-value/solution
514,11,False,514. Freedom Trail,"In the video game Fallout 4, the quest ""Road to Freedom"" requires players to reach a metal dial called the ""Freedom Trail Ring"" and use the dial to spell a specific keyword to open the door.
Given a string ring that represents the code engraved on the outer ring and another string key that represents the keyword that needs to be spelled, return the minimum number of steps to spell all the characters in the keyword.
Initially, the first character of the ring is aligned at the ""12:00"" direction. You should spell all the characters in key one by one by rotating ring clockwise or anticlockwise to make each character of the string key aligned at the ""12:00"" direction and then by pressing the center button.
At the stage of rotating the ring to spell the key character key[i]:

You can rotate the ring clockwise or anticlockwise by one place, which counts as one step. The final purpose of the rotation is to align one of ring's characters at the ""12:00"" direction, where this character must equal key[i].
If the character key[i] has been aligned at the ""12:00"" direction, press the center button to spell, which also counts as one step. After the pressing, you could begin to spell the next character in the key (next stage). Otherwise, you have finished all the spelling.

 
Example 1:

Input: ring = ""godding"", key = ""gd""
Output: 4
Explanation:
For the first key character 'g', since it is already in place, we just need 1 step to spell this character. 
For the second key character 'd', we need to rotate the ring ""godding"" anticlockwise by two steps to make it become ""ddinggo"".
Also, we need 1 more step for spelling.
So the final output is 4.

Example 2:
Input: ring = ""godding"", key = ""godding""
Output: 13

 
Constraints:

1 <= ring.length, key.length <= 100
ring and key consist of only lower case English letters.
It is guaranteed that key could always be spelled by rotating ring.

","'String', 'Dynamic Programming', 'Depth-First Search', 'Breadth-First Search'",Hard,[''],0.0,47.3,34400,72700,373,5,876,37,https://leetcode.com/problems/freedom-trail,https://leetcode.com/problems/freedom-trail/solution
515,11,False,515. Find Largest Value in Each Tree Row,"Given the root of a binary tree, return an array of the largest value in each row of the tree (0-indexed).
 
Example 1:

Input: root = [1,3,2,5,3,null,9]
Output: [1,3,9]

Example 2:
Input: root = [1,2,3]
Output: [1,3]

 
Constraints:

The number of nodes in the tree will be in the range [0, 104].
-231 <= Node.val <= 231 - 1

","'Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree'",Medium,[''],0.0,65.6,314800,479700,3100,63,3500,110,https://leetcode.com/problems/find-largest-value-in-each-tree-row,https://leetcode.com/problems/find-largest-value-in-each-tree-row/solution
516,11,False,516. Longest Palindromic Subsequence,"Given a string s, find the longest palindromic subsequence's length in s.
A subsequence is a sequence that can be derived from another sequence by deleting some or no elements without changing the order of the remaining elements.
 
Example 1:
Input: s = ""bbbab""
Output: 4
Explanation: One possible longest palindromic subsequence is ""bbbb"".

Example 2:
Input: s = ""cbbd""
Output: 2
Explanation: One possible longest palindromic subsequence is ""bb"".

 
Constraints:

1 <= s.length <= 1000
s consists only of lowercase English letters.

","'String', 'Dynamic Programming'",Medium,"[""'Longest Palindromic Substring'"", ""'Palindromic Substrings'"", ""'Count Different Palindromic Subsequences'"", ""'Longest Common Subsequence'"", ""'Longest Palindromic Subsequence II'"", ""'Maximize Palindrome Length From Subsequences'"", ""'Maximum Product of the Length of Two Palindromic Subsequences'""]",7.0,62.2,436700,701500,2900,57,9100,315,https://leetcode.com/problems/longest-palindromic-subsequence,https://leetcode.com/problems/longest-palindromic-subsequence/solution
517,11,False,517. Super Washing Machines,"You have n super washing machines on a line. Initially, each washing machine has some dresses or is empty.
For each move, you could choose any m (1 <= m <= n) washing machines, and pass one dress of each washing machine to one of its adjacent washing machines at the same time.
Given an integer array machines representing the number of dresses in each washing machine from left to right on the line, return the minimum number of moves to make all the washing machines have the same number of dresses. If it is not possible to do it, return -1.
 
Example 1:
Input: machines = [1,0,5]
Output: 3
Explanation:
1st move:    1     0 <-- 5    =>    1     1     4
2nd move:    1 <-- 1 <-- 4    =>    2     1     3
3rd move:    2     1 <-- 3    =>    2     2     2

Example 2:
Input: machines = [0,3,0]
Output: 2
Explanation:
1st move:    0 <-- 3     0    =>    1     2     0
2nd move:    1     2 --> 0    =>    1     1     1

Example 3:
Input: machines = [0,2,0]
Output: -1
Explanation:
It's impossible to make all three washing machines have the same number of dresses.

 
Constraints:

n == machines.length
1 <= n <= 104
0 <= machines[i] <= 105

","'Array', 'Greedy'",Hard,[''],0.0,40.8,27500,67400,147,15,736,209,https://leetcode.com/problems/super-washing-machines,https://leetcode.com/problems/super-washing-machines/solution
518,11,False,518. Coin Change II,"You are given an integer array coins representing coins of different denominations and an integer amount representing a total amount of money.
Return the number of combinations that make up that amount. If that amount of money cannot be made up by any combination of the coins, return 0.
You may assume that you have an infinite number of each kind of coin.
The answer is guaranteed to fit into a signed 32-bit integer.
 
Example 1:
Input: amount = 5, coins = [1,2,5]
Output: 4
Explanation: there are four ways to make up the amount:
5=5
5=2+2+1
5=2+1+1+1
5=1+1+1+1+1

Example 2:
Input: amount = 3, coins = [2]
Output: 0
Explanation: the amount of 3 cannot be made up just with coins of 2.

Example 3:
Input: amount = 10, coins = [10]
Output: 1

 
Constraints:

1 <= coins.length <= 300
1 <= coins[i] <= 5000
All the values of coins are unique.
0 <= amount <= 5000

","'Array', 'Dynamic Programming'",Medium,"[""'Maximum Value of K Coins From Piles'"", ""'Number of Ways to Earn Points'"", ""'Count of Sub-Multisets With Bounded Sum'"", ""'Length of the Longest Subsequence That Sums to Target'""]",4.0,63.2,545900,863200,2800,60,8900,154,https://leetcode.com/problems/coin-change-ii,https://leetcode.com/problems/coin-change-ii/solution
519,11,False,519. Random Flip Matrix,"There is an m x n binary grid matrix with all the values set 0 initially. Design an algorithm to randomly pick an index (i, j) where matrix[i][j] == 0 and flips it to 1. All the indices (i, j) where matrix[i][j] == 0 should be equally likely to be returned.
Optimize your algorithm to minimize the number of calls made to the built-in random function of your language and optimize the time and space complexity.
Implement the Solution class:

Solution(int m, int n) Initializes the object with the size of the binary matrix m and n.
int[] flip() Returns a random index [i, j] of the matrix where matrix[i][j] == 0 and flips it to 1.
void reset() Resets all the values of the matrix to be 0.

 
Example 1:
Input
[""Solution"", ""flip"", ""flip"", ""flip"", ""reset"", ""flip""]
[[3, 1], [], [], [], [], []]
Output
[null, [1, 0], [2, 0], [0, 0], null, [2, 0]]

Explanation
Solution solution = new Solution(3, 1);
solution.flip();  // return [1, 0], [0,0], [1,0], and [2,0] should be equally likely to be returned.
solution.flip();  // return [2, 0], Since [1,0] was returned, [2,0] and [0,0]
solution.flip();  // return [0, 0], Based on the previously returned indices, only [0,0] can be returned.
solution.reset(); // All the values are reset to 0 and can be returned.
solution.flip();  // return [2, 0], [0,0], [1,0], and [2,0] should be equally likely to be returned.

 
Constraints:

1 <= m, n <= 104
There will be at least one free cell for each call to flip.
At most 1000 calls will be made to flip and reset.

","'Hash Table', 'Math', 'Reservoir Sampling', 'Randomized'",Medium,[''],0.0,40.5,17900,44200,141,6,394,113,https://leetcode.com/problems/random-flip-matrix,https://leetcode.com/problems/random-flip-matrix/solution
520,11,False,520. Detect Capital,"We define the usage of capitals in a word to be right when one of the following cases holds:

All letters in this word are capitals, like ""USA"".
All letters in this word are not capitals, like ""leetcode"".
Only the first letter in this word is capital, like ""Google"".

Given a string word, return true if the usage of capitals in it is right.
 
Example 1:
Input: word = ""USA""
Output: true
Example 2:
Input: word = ""FlaG""
Output: false

 
Constraints:

1 <= word.length <= 100
word consists of lowercase and uppercase English letters.

",'String',Easy,"[""'Capitalize the Title'""]",1.0,56.7,408200,720200,6400,76,3300,453,https://leetcode.com/problems/detect-capital,https://leetcode.com/problems/detect-capital/solution
521,11,False,521. Longest Uncommon Subsequence I,"Given two strings a and b, return the length of the longest uncommon subsequence between a and b. If the longest uncommon subsequence does not exist, return -1.
An uncommon subsequence between two strings is a string that is a subsequence of one but not the other.
A subsequence of a string s is a string that can be obtained after deleting any number of characters from s.

For example, ""abc"" is a subsequence of ""aebdc"" because you can delete the underlined characters in ""aebdc"" to get ""abc"". Other subsequences of ""aebdc"" include ""aebdc"", ""aeb"", and """" (empty string).

 
Example 1:
Input: a = ""aba"", b = ""cdc""
Output: 3
Explanation: One longest uncommon subsequence is ""aba"" because ""aba"" is a subsequence of ""aba"" but not ""cdc"".
Note that ""cdc"" is also a longest uncommon subsequence.

Example 2:
Input: a = ""aaa"", b = ""bbb""
Output: 3
Explanation: The longest uncommon subsequences are ""aaa"" and ""bbb"".

Example 3:
Input: a = ""aaa"", b = ""aaa""
Output: -1
Explanation: Every subsequence of string a is also a subsequence of string b. Similarly, every subsequence of string b is also a subsequence of string a.

 
Constraints:

1 <= a.length, b.length <= 100
a and b consist of lower-case English letters.

",'String',Easy,"[""'Longest Uncommon Subsequence II'""]",1.0,60.5,102900,170200,603,34,794,6400,https://leetcode.com/problems/longest-uncommon-subsequence-i,https://leetcode.com/problems/longest-uncommon-subsequence-i/solution
522,11,False,522. Longest Uncommon Subsequence II,"Given an array of strings strs, return the length of the longest uncommon subsequence between them. If the longest uncommon subsequence does not exist, return -1.
An uncommon subsequence between an array of strings is a string that is a subsequence of one string but not the others.
A subsequence of a string s is a string that can be obtained after deleting any number of characters from s.

For example, ""abc"" is a subsequence of ""aebdc"" because you can delete the underlined characters in ""aebdc"" to get ""abc"". Other subsequences of ""aebdc"" include ""aebdc"", ""aeb"", and """" (empty string).

 
Example 1:
Input: strs = [""aba"",""cdc"",""eae""]
Output: 3
Example 2:
Input: strs = [""aaa"",""aaa"",""aa""]
Output: -1

 
Constraints:

2 <= strs.length <= 50
1 <= strs[i].length <= 10
strs[i] consists of lowercase English letters.

","'Array', 'Hash Table', 'Two Pointers', 'String', 'Sorting'",Medium,"[""'Longest Uncommon Subsequence I'""]",1.0,40.9,49200,120200,337,14,487,1300,https://leetcode.com/problems/longest-uncommon-subsequence-ii,https://leetcode.com/problems/longest-uncommon-subsequence-ii/solution
523,11,False,523. Continuous Subarray Sum,"Given an integer array nums and an integer k, return true if nums has a good subarray or false otherwise.
A good subarray is a subarray where:

its length is at least two, and
the sum of the elements of the subarray is a multiple of k.

Note that:

A subarray is a contiguous part of the array.
An integer x is a multiple of k if there exists an integer n such that x = n * k. 0 is always a multiple of k.

 
Example 1:
Input: nums = [23,2,4,6,7], k = 6
Output: true
Explanation: [2, 4] is a continuous subarray of size 2 whose elements sum up to 6.

Example 2:
Input: nums = [23,2,6,4,7], k = 6
Output: true
Explanation: [23, 2, 6, 4, 7] is an continuous subarray of size 5 whose elements sum up to 42.
42 is a multiple of 6 because 42 = 7 * 6 and 7 is an integer.

Example 3:
Input: nums = [23,2,6,4,7], k = 13
Output: false

 
Constraints:

1 <= nums.length <= 105
0 <= nums[i] <= 109
0 <= sum(nums[i]) <= 231 - 1
1 <= k <= 231 - 1

","'Array', 'Hash Table', 'Math', 'Prefix Sum'",Medium,"[""'Subarray Sum Equals K'"", ""'Minimum Number of Operations to Make Array Continuous'"", ""'Intervals Between Identical Elements'"", ""'Apply Operations to Make All Array Elements Equal to Zero'""]",4.0,28.6,418500,1500000,1700,39,5200,504,https://leetcode.com/problems/continuous-subarray-sum,https://leetcode.com/problems/continuous-subarray-sum/solution
524,11,False,524. Longest Word in Dictionary through Deleting,"Given a string s and a string array dictionary, return the longest string in the dictionary that can be formed by deleting some of the given string characters. If there is more than one possible result, return the longest word with the smallest lexicographical order. If there is no possible result, return the empty string.
 
Example 1:
Input: s = ""abpcplea"", dictionary = [""ale"",""apple"",""monkey"",""plea""]
Output: ""apple""

Example 2:
Input: s = ""abpcplea"", dictionary = [""a"",""b"",""c""]
Output: ""a""

 
Constraints:

1 <= s.length <= 1000
1 <= dictionary.length <= 1000
1 <= dictionary[i].length <= 1000
s and dictionary[i] consist of lowercase English letters.

","'Array', 'Two Pointers', 'String', 'Sorting'",Medium,"[""'Longest Word in Dictionary'""]",1.0,51.1,147300,288500,919,7,1700,355,https://leetcode.com/problems/longest-word-in-dictionary-through-deleting,https://leetcode.com/problems/longest-word-in-dictionary-through-deleting/solution
525,11,False,525. Contiguous Array,"Given a binary array nums, return the maximum length of a contiguous subarray with an equal number of 0 and 1.
 
Example 1:
Input: nums = [0,1]
Output: 2
Explanation: [0, 1] is the longest contiguous subarray with an equal number of 0 and 1.

Example 2:
Input: nums = [0,1,0]
Output: 2
Explanation: [0, 1] (or [1, 0]) is a longest contiguous subarray with equal number of 0 and 1.

 
Constraints:

1 <= nums.length <= 105
nums[i] is either 0 or 1.

","'Array', 'Hash Table', 'Prefix Sum'",Medium,"[""'Maximum Size Subarray Sum Equals k'""]",1.0,46.9,313000,667600,1500,17,6800,273,https://leetcode.com/problems/contiguous-array,https://leetcode.com/problems/contiguous-array/solution
526,11,False,526. Beautiful Arrangement,"Suppose you have n integers labeled 1 through n. A permutation of those n integers perm (1-indexed) is considered a beautiful arrangement if for every i (1 <= i <= n), either of the following is true:

perm[i] is divisible by i.
i is divisible by perm[i].

Given an integer n, return the number of the beautiful arrangements that you can construct.
 
Example 1:
Input: n = 2
Output: 2
Explanation: 
The first beautiful arrangement is [1,2]:
    - perm[1] = 1 is divisible by i = 1
    - perm[2] = 2 is divisible by i = 2
The second beautiful arrangement is [2,1]:
    - perm[1] = 2 is divisible by i = 1
    - i = 2 is divisible by perm[2] = 1

Example 2:
Input: n = 1
Output: 1

 
Constraints:

1 <= n <= 15

","'Array', 'Dynamic Programming', 'Backtracking', 'Bit Manipulation', 'Bitmask'",Medium,"[""'Beautiful Arrangement II'""]",1.0,64.3,162700,253100,951,4,3100,350,https://leetcode.com/problems/beautiful-arrangement,https://leetcode.com/problems/beautiful-arrangement/solution
527,11,True,527. Word Abbreviation,,,Hard,,,60.8,,,,,,,https://leetcode.com/problems/word-abbreviation,https://leetcode.com/problems/word-abbreviation/solution
528,11,False,528. Random Pick with Weight,"You are given a 0-indexed array of positive integers w where w[i] describes the weight of the ith index.
You need to implement the function pickIndex(), which randomly picks an index in the range [0, w.length - 1] (inclusive) and returns it. The probability of picking an index i is w[i] / sum(w).

For example, if w = [1, 3], the probability of picking index 0 is 1 / (1 + 3) = 0.25 (i.e., 25%), and the probability of picking index 1 is 3 / (1 + 3) = 0.75 (i.e., 75%).

 
Example 1:
Input
[""Solution"",""pickIndex""]
[[[1]],[]]
Output
[null,0]

Explanation
Solution solution = new Solution([1]);
solution.pickIndex(); // return 0. The only option is to return 0 since there is only one element in w.

Example 2:
Input
[""Solution"",""pickIndex"",""pickIndex"",""pickIndex"",""pickIndex"",""pickIndex""]
[[[1,3]],[],[],[],[],[]]
Output
[null,1,1,1,1,0]

Explanation
Solution solution = new Solution([1, 3]);
solution.pickIndex(); // return 1. It is returning the second element (index = 1) that has a probability of 3/4.
solution.pickIndex(); // return 1
solution.pickIndex(); // return 1
solution.pickIndex(); // return 1
solution.pickIndex(); // return 0. It is returning the first element (index = 0) that has a probability of 1/4.

Since this is a randomization problem, multiple answers are allowed.
All of the following outputs can be considered correct:
[null,1,1,1,1,0]
[null,1,1,1,1,1]
[null,1,1,1,0,0]
[null,1,1,1,0,1]
[null,1,0,1,0,0]
......
and so on.

 
Constraints:

1 <= w.length <= 104
1 <= w[i] <= 105
pickIndex will be called at most 104 times.

","'Array', 'Math', 'Binary Search', 'Prefix Sum', 'Randomized'",Medium,"[""'Random Pick Index'"", ""'Random Pick with Blacklist'"", ""'Random Point in Non-overlapping Rectangles'""]",3.0,46.2,389600,842300,983,38,1600,672,https://leetcode.com/problems/random-pick-with-weight,https://leetcode.com/problems/random-pick-with-weight/solution
529,11,False,529. Minesweeper,"Let's play the minesweeper game (Wikipedia, online game)!
You are given an m x n char matrix board representing the game board where:

'M' represents an unrevealed mine,
'E' represents an unrevealed empty square,
'B' represents a revealed blank square that has no adjacent mines (i.e., above, below, left, right, and all 4 diagonals),
digit ('1' to '8') represents how many mines are adjacent to this revealed square, and
'X' represents a revealed mine.

You are also given an integer array click where click = [clickr, clickc] represents the next click position among all the unrevealed squares ('M' or 'E').
Return the board after revealing this position according to the following rules:

If a mine 'M' is revealed, then the game is over. You should change it to 'X'.
If an empty square 'E' with no adjacent mines is revealed, then change it to a revealed blank 'B' and all of its adjacent unrevealed squares should be revealed recursively.
If an empty square 'E' with at least one adjacent mine is revealed, then change it to a digit ('1' to '8') representing the number of adjacent mines.
Return the board when no more squares will be revealed.

 
Example 1:

Input: board = [[""E"",""E"",""E"",""E"",""E""],[""E"",""E"",""M"",""E"",""E""],[""E"",""E"",""E"",""E"",""E""],[""E"",""E"",""E"",""E"",""E""]], click = [3,0]
Output: [[""B"",""1"",""E"",""1"",""B""],[""B"",""1"",""M"",""1"",""B""],[""B"",""1"",""1"",""1"",""B""],[""B"",""B"",""B"",""B"",""B""]]

Example 2:

Input: board = [[""B"",""1"",""E"",""1"",""B""],[""B"",""1"",""M"",""1"",""B""],[""B"",""1"",""1"",""1"",""B""],[""B"",""B"",""B"",""B"",""B""]], click = [1,2]
Output: [[""B"",""1"",""E"",""1"",""B""],[""B"",""1"",""X"",""1"",""B""],[""B"",""1"",""1"",""1"",""B""],[""B"",""B"",""B"",""B"",""B""]]

 
Constraints:

m == board.length
n == board[i].length
1 <= m, n <= 50
board[i][j] is either 'M', 'E', 'B', or a digit from '1' to '8'.
click.length == 2
0 <= clickr < m
0 <= clickc < n
board[clickr][clickc] is either 'M' or 'E'.

","'Array', 'Depth-First Search', 'Breadth-First Search', 'Matrix'",Medium,"[""'Detonate the Maximum Bombs'""]",1.0,66.1,145200,219500,934,12,1900,1000,https://leetcode.com/problems/minesweeper,https://leetcode.com/problems/minesweeper/solution
530,11,False,530. Minimum Absolute Difference in BST,"Given the root of a Binary Search Tree (BST), return the minimum absolute difference between the values of any two different nodes in the tree.
 
Example 1:

Input: root = [4,2,6,1,3]
Output: 1

Example 2:

Input: root = [1,0,48,null,null,12,49]
Output: 1

 
Constraints:

The number of nodes in the tree is in the range [2, 104].
0 <= Node.val <= 105

 
Note: This question is the same as 783: https://leetcode.com/problems/minimum-distance-between-bst-nodes/
","'Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Search Tree', 'Binary Tree'",Easy,"[""'K-diff Pairs in an Array'""]",1.0,58.6,318200,543000,2400,40,4100,201,https://leetcode.com/problems/minimum-absolute-difference-in-bst,https://leetcode.com/problems/minimum-absolute-difference-in-bst/solution
531,11,True,531. Lonely Pixel I,,,Medium,,,62.2,,,,,,,https://leetcode.com/problems/lonely-pixel-i,https://leetcode.com/problems/lonely-pixel-i/solution
532,11,False,532. K-diff Pairs in an Array,"Given an array of integers nums and an integer k, return the number of unique k-diff pairs in the array.
A k-diff pair is an integer pair (nums[i], nums[j]), where the following are true:

0 <= i, j < nums.length
i != j
|nums[i] - nums[j]| == k

Notice that |val| denotes the absolute value of val.
 
Example 1:
Input: nums = [3,1,4,1,5], k = 2
Output: 2
Explanation: There are two 2-diff pairs in the array, (1, 3) and (3, 5).
Although we have two 1s in the input, we should only return the number of unique pairs.

Example 2:
Input: nums = [1,2,3,4,5], k = 1
Output: 4
Explanation: There are four 1-diff pairs in the array, (1, 2), (2, 3), (3, 4) and (4, 5).

Example 3:
Input: nums = [1,3,1,5,4], k = 0
Output: 1
Explanation: There is one 0-diff pair in the array, (1, 1).

 
Constraints:

1 <= nums.length <= 104
-107 <= nums[i] <= 107
0 <= k <= 107

","'Array', 'Hash Table', 'Two Pointers', 'Binary Search', 'Sorting'",Medium,"[""'Minimum Absolute Difference in BST'"", ""'Count Number of Pairs With Absolute Difference K'"", ""'Kth Smallest Product of Two Sorted Arrays'"", ""'Count Number of Bad Pairs'"", ""'Number of Pairs Satisfying Inequality'"", ""'Minimum Absolute Difference Between Elements With Constraint'""]",6.0,42.0,315100,749700,2100,14,3700,2200,https://leetcode.com/problems/k-diff-pairs-in-an-array,https://leetcode.com/problems/k-diff-pairs-in-an-array/solution
533,11,True,533. Lonely Pixel II,,,Medium,,,48.5,,,,,,,https://leetcode.com/problems/lonely-pixel-ii,https://leetcode.com/problems/lonely-pixel-ii/solution
534,11,True,534. Game Play Analysis III,,,Medium,,,81.0,,,,,,,https://leetcode.com/problems/game-play-analysis-iii,https://leetcode.com/problems/game-play-analysis-iii/solution
535,11,False,535. Encode and Decode TinyURL,"Note: This is a companion problem to the System Design problem: Design TinyURL.
TinyURL is a URL shortening service where you enter a URL such as https://leetcode.com/problems/design-tinyurl and it returns a short URL such as http://tinyurl.com/4e9iAk. Design a class to encode a URL and decode a tiny URL.
There is no restriction on how your encode/decode algorithm should work. You just need to ensure that a URL can be encoded to a tiny URL and the tiny URL can be decoded to the original URL.
Implement the Solution class:

Solution() Initializes the object of the system.
String encode(String longUrl) Returns a tiny URL for the given longUrl.
String decode(String shortUrl) Returns the original long URL for the given shortUrl. It is guaranteed that the given shortUrl was encoded by the same object.

 
Example 1:
Input: url = ""https://leetcode.com/problems/design-tinyurl""
Output: ""https://leetcode.com/problems/design-tinyurl""

Explanation:
Solution obj = new Solution();
string tiny = obj.encode(url); // returns the encoded tiny url.
string ans = obj.decode(tiny); // returns the original url after decoding it.

 
Constraints:

1 <= url.length <= 104
url is guranteed to be a valid URL.

","'Hash Table', 'String', 'Design', 'Hash Function'",Medium,[''],0.0,86.2,242700,281700,1500,13,1900,3700,https://leetcode.com/problems/encode-and-decode-tinyurl,https://leetcode.com/problems/encode-and-decode-tinyurl/solution
536,11,True,536. Construct Binary Tree from String,,,Medium,,,56.4,,,,,,,https://leetcode.com/problems/construct-binary-tree-from-string,https://leetcode.com/problems/construct-binary-tree-from-string/solution
537,11,False,537. Complex Number Multiplication,"A complex number can be represented as a string on the form ""real+imaginaryi"" where:

real is the real part and is an integer in the range [-100, 100].
imaginary is the imaginary part and is an integer in the range [-100, 100].
i2 == -1.

Given two complex numbers num1 and num2 as strings, return a string of the complex number that represents their multiplications.
 
Example 1:
Input: num1 = ""1+1i"", num2 = ""1+1i""
Output: ""0+2i""
Explanation: (1 + i) * (1 + i) = 1 + i2 + 2 * i = 2i, and you need convert it to the form of 0+2i.

Example 2:
Input: num1 = ""1+-1i"", num2 = ""1+-1i""
Output: ""0+-2i""
Explanation: (1 - i) * (1 - i) = 1 + i2 - 2 * i = -2i, and you need convert it to the form of 0+-2i.

 
Constraints:

num1 and num2 are valid complex numbers.

","'Math', 'String', 'Simulation'",Medium,[''],0.0,71.5,91400,127800,956,7,680,1200,https://leetcode.com/problems/complex-number-multiplication,https://leetcode.com/problems/complex-number-multiplication/solution
538,11,False,538. Convert BST to Greater Tree,"Given the root of a Binary Search Tree (BST), convert it to a Greater Tree such that every key of the original BST is changed to the original key plus the sum of all keys greater than the original key in BST.
As a reminder, a binary search tree is a tree that satisfies these constraints:

The left subtree of a node contains only nodes with keys less than the node's key.
The right subtree of a node contains only nodes with keys greater than the node's key.
Both the left and right subtrees must also be binary search trees.

 
Example 1:

Input: root = [4,1,6,0,2,5,7,null,null,null,3,null,null,null,8]
Output: [30,36,21,36,35,26,15,null,null,null,33,null,null,null,8]

Example 2:
Input: root = [0,null,1]
Output: [1,null,1]

 
Constraints:

The number of nodes in the tree is in the range [0, 104].
-104 <= Node.val <= 104
All the values in the tree are unique.
root is guaranteed to be a valid binary search tree.

 
Note: This question is the same as 1038: https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree/
","'Tree', 'Depth-First Search', 'Binary Search Tree', 'Binary Tree'",Medium,[''],0.0,68.5,281100,410300,2100,11,5000,170,https://leetcode.com/problems/convert-bst-to-greater-tree,https://leetcode.com/problems/convert-bst-to-greater-tree/solution
539,11,False,539. Minimum Time Difference,"Given a list of 24-hour clock time points in ""HH:MM"" format, return the minimum minutes difference between any two time-points in the list.
 
Example 1:
Input: timePoints = [""23:59"",""00:00""]
Output: 1
Example 2:
Input: timePoints = [""00:00"",""23:59"",""00:00""]
Output: 0

 
Constraints:

2 <= timePoints.length <= 2 * 104
timePoints[i] is in the format ""HH:MM"".

","'Array', 'Math', 'String', 'Sorting'",Medium,"[""'Minimum Cost to Set Cooking Time'""]",1.0,56.5,135400,239400,950,4,1700,242,https://leetcode.com/problems/minimum-time-difference,https://leetcode.com/problems/minimum-time-difference/solution
540,11,False,540. Single Element in a Sorted Array,"You are given a sorted array consisting of only integers where every element appears exactly twice, except for one element which appears exactly once.
Return the single element that appears only once.
Your solution must run in O(log n) time and O(1) space.
 
Example 1:
Input: nums = [1,1,2,3,3,4,4,8,8]
Output: 2
Example 2:
Input: nums = [3,3,7,7,10,11,11]
Output: 10

 
Constraints:

1 <= nums.length <= 105
0 <= nums[i] <= 105

","'Array', 'Binary Search'",Medium,[''],0.0,59.0,550600,933500,5600,92,10400,159,https://leetcode.com/problems/single-element-in-a-sorted-array,https://leetcode.com/problems/single-element-in-a-sorted-array/solution
541,11,False,541. Reverse String II,"Given a string s and an integer k, reverse the first k characters for every 2k characters counting from the start of the string.
If there are fewer than k characters left, reverse all of them. If there are less than 2k but greater than or equal to k characters, then reverse the first k characters and leave the other as original.
 
Example 1:
Input: s = ""abcdefg"", k = 2
Output: ""bacdfeg""
Example 2:
Input: s = ""abcd"", k = 2
Output: ""bacd""

 
Constraints:

1 <= s.length <= 104
s consists of only lowercase English letters.
1 <= k <= 104

","'Two Pointers', 'String'",Easy,"[""'Reverse String'"", ""'Reverse Words in a String III'"", ""'Faulty Keyboard'""]",3.0,50.4,219800,436000,1900,31,1800,3600,https://leetcode.com/problems/reverse-string-ii,https://leetcode.com/problems/reverse-string-ii/solution
